"ДТ","2 и более устройства глонасс на 1 технике (3 скриншота с разных объектов с телеметрией)",1
"ДТ","БРТС (Брошенное разукомплектованное транспортное средство) + 5 суток и более (2 скришота)",0
"ДТ","Вброс данных (3 скриншота с разных объектов с телеметрией + обязательный запрос видеоархива)",1
"ДТ","Дорожно-тропиночная сеть не очищена от снега и наледи + 1 сутки (2 скриншота)",0
"ДТ","Зона отдыха/ спортивная/ детская площадка не очищена от снега и наледи + 3 (3 и более скриншотов)",0
"ДТ","Козырек не очищен от снега и сосулек (1 скриншот)",0
"ДТ","Кучи снега или наледь на проезде/парковочном кармане + 3 суток (3 и более скриншотов)",0
"ДТ","Маф не очищен от снега + 2 суток (2 и более скриншотов)",0
"ДТ","Мусор на улице + 1 сутки (2 и более скриншотов)",0
"ДТ","Не окрашен бордюрный камень (1 скриншот)",0
"ДТ","Не окрашен МАФ (1 скриншот)",0
"ДТ","Не очищена отмостка + 3 суток (3 и более скриншотов)",0
"ДТ","Не работает освещение (2 скриншота, день-ночь)",0
"ДТ","Не соответствует виду техники в АСУ ОДС (3 скриншота с разных объектов с телеметрией)",1
"ДТ","Не является уборочной техникой (3 скриншота с разных объектов с телеметрией)",1
"ДТ","Переполненная урна + 1 сутки (2 и более скриншотов)",0
"ДТ","Поврежденная разметка (1 скриншот)",0
"ДТ","Поврежденное АБ покрытие (1 скриншот)",0
"ДТ","Поврежденный бордюрный камень (1 скриншот)",0
"ДТ","Просадка люка (1 скриншот)",0
"ДТ","Сломанный МАФ (1 скриншот)",0
"ДТ","Снег или наледь у входной группы (1 скриншот в 8:00)",0
"ДТ","Холостой ход (1 скриншот с телеметрией)",1
"ДТ","Несанкционированная торговля (1 скриншот)",0
"ОДХ","2 и более устройства глонасс на 1 технике (3 скриншота с разных объектов с телеметрией)",1
"ОДХ","Вброс данных (3 скриншота с разных объектов с телеметрией + обязательный запрос видеоархива)",1
"ОДХ","Не окрашен бордюрный камень (1 скриншот)",0
"ОДХ","Не окрашен МАФ (1 скриншот)",0
"ОДХ","Не работает освещение (2 скриншота, день-ночь)",0
"ОДХ","Не соответствует виду техники в АСУ ОДС (3 скриншота с разных объектов с телеметрией)",1
"ОДХ","Не является уборочной техникой (3 скриншота с разных объектов с телеметрией)",1
"ОДХ","Поврежденная разметка (1 скриншот)",0
"ОДХ","Поврежденное АБ покрытие (1 скриншот)",0
"ОДХ","Поврежденный бордюрный камень (1 скриншот)",0
"ОДХ","Сломанный МАФ (1 скриншот)",0
"ОДХ","Снег или наледь на ОДХ или на парковочном кармане (категория ОДХ : кол-во дней выделенных на вывоз; 1:4, 2:4; 3:6; 4:4; 5:9; 6:4; 7:4; вн:4) (Кол-во скриншотов зависит от категории дороги)",0
"ОДХ","Снег или наледь на прикрепленном к ОДХ тротуаре (1 сутки, 2 скриншота)",0
"ОДХ","Холостой ход (1 скриншот с телеметрией)",1
"ОДХ","Несанкционированная торговля (1 скриншот)",0
